t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
509.3632,31.04,12.48,120.50,34,2069,-1350,7093
509.4254,44.18,-17.16,57.75,15,1993,-679,6048
509.4973,66.96,-36.66,77.76,36,1943,-1940,6440
509.5587,22.41,-65.13,-40.59,-9,1870,-481,6373
509.6309,11.15,-54.60,-55.89,-8,1897,98,5815
509.6919,-38.86,-46.02,-128.40,-23,1919,971,6253
509.7636,-36.18,20.67,-85.16,-21,2090,1603,7107
509.8254,-39.43,28.08,-40.49,-28,2109,1146,6844
509.8970,-13.56,49.92,20.56,3,2165,98,7077
509.9586,27.73,33.54,106.51,35,2123,-1252,9543
510.0303,52.21,8.19,107.38,17,2058,-1076,6253
510.0919,85.51,-33.54,126.29,43,1951,-2189,6223
510.1642,38.50,-63.18,-31.68,-11,1875,333,7928
510.2254,36.70,-55.38,7.54,5,1895,100,6274
510.2968,-31.70,-47.19,-161.11,-43,1916,1814,6190
510.3586,-18.08,3.51,-43.67,-10,2046,942,7247
510.4312,-51.26,35.10,-102.65,-36,2127,1899,6735
510.4919,-1.09,60.45,85.28,10,2192,397,6353
510.5641,-3.80,41.73,21.04,1,2144,179,8121
510.6253,51.84,14.82,137.71,45,2075,-1418,6590
510.6974,52.93,-27.69,79.57,26,1966,-1296,6173
510.7586,45.60,-54.99,44.57,21,1896,-1032,6479
510.8308,18.73,-69.03,-33.81,-6,1860,-432,6017
510.8919,-13.13,-52.65,-75.46,-26,1902,880,8329
510.9635,-36.61,-28.47,-131.99,-29,1964,1047,6633
511.0254,-47.22,23.01,-64.73,-26,2096,1125,6905
511.0959,-37.21,48.75,-22.45,-13,2162,835,6346
511.1587,-5.07,50.31,52.37,14,2166,-152,6753
511.2304,20.07,28.08,69.26,25,2109,-867,6186
511.2919,52.62,-10.92,127.39,43,2009,-1377,8898
511.3640,38.25,-53.82,45.25,12,1899,-653,6675
511.4253,31.40,-63.96,10.79,15,1873,-333,6490
511.4981,-13.74,-67.86,-76.68,-26,1863,794,6558
511.5586,-16.95,-35.10,-67.36,-16,1947,788,5946
511.6308,-56.11,5.46,-118.76,-41,2051,2101,6255
511.6920,-43.93,41.73,-55.09,-21,2144,1174,9362
511.7643,-15.89,51.48,25.67,7,2169,87,7758
511.8252,10.24,38.22,68.23,21,2135,-956,6390
511.8969,47.63,3.90,126.58,41,2047,-1905,6273
511.9586,42.30,-36.66,70.16,25,1943,-1299,6628
512.0304,42.86,-56.16,56.09,18,1893,-594,6176
512.0918,-0.09,-68.64,-80.31,-23,1861,851,7628
512.1643,-10.85,-55.38,-63.56,-22,1895,607,7013
512.2253,-53.46,-25.35,-134.35,-41,1972,1278,6547
512.2966,-40.08,25.74,-44.42,-19,2103,1002,6169
512.3586,-38.92,49.92,-23.15,-12,2165,1220,6653
512.4312,-0.81,51.09,62.42,6,2168,46,6270
512.4920,21.94,23.40,94.96,23,2097,-1439,8307
512.5646,49.97,-26.13,102.98,35,1970,-1434,7056
512.6254,33.67,-55.77,23.66,12,1894,-853,6583
512.6968,29.13,-66.30,-10.40,2,1867,-302,6326
512.7586,-10.50,-59.28,-83.52,-21,1885,960,6516
512.8305,-29.97,-31.98,-89.39,-24,1955,1623,6448
512.8920,-53.86,9.36,-104.79,-36,2061,1945,8098
512.9641,-42.90,43.29,-28.32,-17,2148,838,6861
513.0254,-14.86,49.92,33.56,9,2165,53,10090
513.0970,12.78,43.29,89.67,16,2148,-512,7127
513.1587,43.39,-0.39,108.19,36,2036,-1179,6364
513.2292,56.77,-24.18,66.23,36,1975,-1335,6368
513.2919,54.07,-62.40,27.05,14,1877,-533,6014
513.3640,13.14,-64.35,-52.44,-13,1872,-63,6579
513.4253,-17.48,-38.22,-91.79,-31,1939,847,6710
513.4969,-42.66,1.17,-118.40,-36,2040,1555,6416
513.5586,-41.34,30.81,-70.92,-24,2116,1005,6742
513.6300,-14.27,55.77,20.03,2,2180,1673,6016
513.6919,6.49,45.63,71.55,15,2154,-508,6799
513.7636,35.78,24.57,125.40,31,2100,-861,7008
513.8255,50.01,-24.18,56.75,35,1975,-1425,8971
513.8969,49.53,-54.60,55.79,23,1897,-558,7023
513.9586,19.43,-66.69,-32.85,-7,1866,22,6415
514.0303,-11.04,-53.43,-74.02,-26,1900,1044,6113
514.0920,-33.38,-21.45,-103.53,-32,1982,1604,6275
514.1640,-60.08,14.43,-98.51,-41,2074,543,7633
514.2255,-15.52,48.36,41.41,4,2161,68,9283
514.2974,-27.43,48.36,-6.74,-7,2161,634,7254
514.3587,44.54,40.56,168.36,47,2141,-962,8757
514.4307,40.50,-6.63,58.48,10,2020,-300,6547
514.4920,79.32,-40.56,96.61,43,1933,-1864,6329
514.5641,35.71,-62.79,-17.53,1,1876,-149,7310
514.6255,22.19,-58.11,-31.05,-3,1888,475,8912
514.6972,-26.68,-26.91,-110.69,-38,1968,1791,7206
514.7587,-36.35,0.39,-79.95,-32,2038,1109,8768
514.8302,-40.18,24.18,-59.89,-28,2099,1485,6253
514.8920,-16.98,53.04,17.87,5,2173,67,7092
514.9630,25.21,40.17,102.01,33,2140,-535,8621
515.0254,34.49,-1.95,84.71,24,2032,-1128,6567
515.0969,63.68,-1.95,114.85,24,2032,-1128,6518
