t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
249.1441,76.17,129.87,483.01,200,2370,3036,7902
249.2056,-224.96,5.46,-847.54,200,2051,-7408,8471
249.2781,-79.20,164.58,133.84,-6,2459,4283,10622
249.3390,-127.39,28.08,-494.09,-113,2109,-6920,11401
249.4106,-84.11,28.08,179.63,-113,2109,-6920,11427
249.4722,4.70,45.24,-262.22,200,2153,-7140,14935
249.5443,-49.51,66.69,112.32,-200,2208,5175,7385
249.6057,289.31,139.23,289.31,200,2394,-7534,13512
249.6778,-27.92,81.51,-452.17,-200,2246,5735,9182
249.7390,246.67,219.57,246.67,-66,2600,2564,6410
249.8102,187.18,36.27,-218.12,200,2130,-7912,6664
249.8723,230.35,111.15,427.55,-200,2322,6882,6819
249.9442,191.32,64.35,-191.44,101,2202,-5198,6426
250.0059,259.81,151.32,259.81,-131,2425,6196,8142
250.0773,-34.93,8.97,-954.05,-200,2060,5879,6206
250.1391,101.39,165.36,278.51,167,2461,2941,6859
250.2105,-107.76,80.73,-678.82,-200,2244,6114,6577
250.2724,139.64,187.59,472.76,192,2518,-2604,6856
250.3450,-135.17,114.27,-586.63,-200,2330,6437,8230
250.4060,180.43,224.64,649.72,200,2613,-1440,10923
250.4775,-83.08,88.92,-642.59,200,2265,-7785,6696
250.5390,198.42,88.92,656.93,200,2265,-7785,6918
250.6106,-96.56,88.14,-552.77,-200,2263,5962,6477
250.6724,260.59,240.63,749.46,200,2654,4339,8070
250.7442,255.82,108.03,-35.97,200,2314,-8013,7278
250.8058,150.28,126.36,300.46,-200,2361,6644,6358
250.8773,149.70,1.56,-410.28,85,2041,-5065,6666
250.9390,185.86,144.69,434.22,200,2408,4451,10985
251.0104,57.75,18.33,-714.28,200,2084,-8069,6571
251.0723,214.49,163.80,547.61,200,2457,1522,6489
251.1440,-36.06,90.09,-681.55,-200,2268,7983,6847
251.2055,240.22,178.62,629.62,200,2495,-3765,6551
251.2772,-130.70,50.70,-635.76,-200,2167,-4107,6030
251.3388,188.32,210.60,632.52,200,2577,-584,6762
251.4102,-162.71,92.43,-711.07,-200,2274,3144,6359
251.4723,163.99,226.98,604.78,-200,2619,5157,6628
251.5429,-28.88,98.28,-450.38,-200,2289,2307,6262
251.6057,231.60,189.15,231.60,200,2522,-4101,8220
251.6775,34.71,60.84,-531.81,-200,2193,43,6531
251.7389,241.33,142.35,241.33,200,2402,-6289,6635
251.8101,-1.91,-8.58,-649.22,-200,2015,-5854,6551
251.8722,226.37,133.38,226.37,-200,2379,7581,6206
251.9434,-5.84,34.32,-502.36,-200,2125,5959,6354
252.0057,237.52,138.45,237.52,200,2392,-2711,6434
252.0774,-17.74,95.55,-474.48,-200,2282,6887,6456
252.1389,286.96,149.76,526.32,-200,2421,7112,6367
252.2101,-113.68,65.52,-555.36,-200,2205,3924,6214
252.2723,173.42,195.39,423.42,200,2538,2444,6465
252.3436,-162.12,114.66,-530.54,-200,2331,6142,6334
252.4055,223.39,239.85,644.40,200,2652,2134,6541
252.4770,-7.95,128.31,-507.59,-200,2366,4842,6010
252.5389,254.56,187.98,709.05,200,2519,-5293,6728
252.6101,-78.60,53.04,-470.59,36,2173,-6353,5853
252.6723,217.40,168.87,217.40,200,2470,-3986,9364
252.7437,34.92,51.09,-331.30,132,2168,-6951,6192
252.8057,266.62,164.19,266.62,40,2458,4405,6187
252.8776,-56.23,62.01,-514.09,-200,2196,7653,7200
252.9388,267.44,51.87,328.31,200,2170,-6926,9017
253.0105,-68.11,41.73,-284.32,-200,2144,7027,6351
253.0724,268.71,147.81,743.87,200,2416,-4,7933
