t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
988.7847,103.03,95.94,235.39,-200,2283,5096,7120
988.8465,-144.12,24.57,-292.00,-200,2100,2309,7036
988.9181,83.02,130.26,195.60,200,2371,-393,7078
988.9798,-57.68,8.58,-154.65,-27,2059,-3598,6938
989.0513,126.15,111.54,267.65,200,2323,43,7838
989.1132,50.14,-10.14,21.83,200,2011,-4907,6057
989.1843,28.60,39.00,192.37,186,2137,293,7231
989.2465,96.89,-29.64,25.83,174,1961,-3538,6678
989.3179,48.85,-18.33,35.69,-147,1990,3813,7039
989.3798,107.56,-52.26,60.30,173,1903,-3349,8698
989.4515,5.14,-28.08,17.40,-24,1965,2991,6995
989.5132,-33.88,-46.02,-87.05,-86,1919,1165,6580
989.5849,48.44,31.98,147.89,-47,2119,3432,6212
989.6465,-103.67,-7.41,-191.91,-200,2018,2397,7066
989.7179,41.33,93.21,122.21,134,2276,-385,6563
989.7798,-117.09,24.57,-224.85,-200,2100,253,7155
989.8515,69.17,116.22,162.23,200,2335,-1369,7101
989.9131,-92.19,40.95,-187.78,-170,2142,-463,6172
989.9852,130.15,123.24,241.83,0,2353,3264,6628
990.0465,-29.85,12.48,-29.85,-176,2069,957,6421
990.1179,97.16,52.65,210.98,200,2172,-473,6699
990.1798,-15.04,-35.88,-46.13,-25,1945,-1121,6148
990.2518,92.99,-8.58,166.77,200,2015,-1314,6672
990.3132,27.47,-79.17,-0.80,-32568,1834,-2245,6828
990.3854,37.34,-30.42,78.16,9,1959,1587,6353
990.4465,-8.55,-63.18,-24.97,-10,1875,-645,6653
990.5179,0.21,-12.09,36.17,-41,2006,2463,6310
990.5798,-58.97,-30.42,-110.41,-106,1959,-539,6588
990.6520,24.22,40.56,77.38,-129,2141,2791,7101
990.7131,25.99,31.98,-3.17,92,2119,-2993,8429
990.7851,-99.22,71.76,-86.55,-200,2221,3763,6428
990.8466,64.36,88.53,108.40,200,2264,-2821,6453
990.9171,-52.59,63.18,-42.41,-117,2199,718,5971
990.9799,75.24,91.65,118.97,149,2272,-1751,6535
991.0516,-37.55,50.70,-37.55,-132,2167,3339,6341
991.1131,107.78,64.74,88.14,161,2203,-361,6504
991.1855,115.96,30.42,123.77,138,2115,-393,6511
991.2465,132.76,13.65,135.57,200,2072,-360,6680
991.3180,128.55,12771.72,123.07,200,34785,-663,5938
991.3798,118.49,-12.09,112.62,183,2006,-13,6113
991.4518,88.61,-13.65,67.01,115,2002,7,6543
991.5132,36.67,-15.21,-16.25,1,1998,-80,6098
991.5847,13.18,15.21,2.23,-39,2076,2001,6236
991.6464,-12.02,23.40,-42.49,-46,2097,39,7155
991.7183,-17.49,54.99,-30.25,-49,2178,427,6468
991.7799,-9.07,80.34,-3.77,-17,2243,758,7283
991.8515,-11.03,80.34,-16.07,-17,2243,758,6627
991.9132,20.63,91.65,45.81,-19,2272,896,9577
991.9853,14.31,65.52,17.49,41,2205,-1068,7058
992.0465,16.20,40.17,16.20,35,2140,-2160,6445
992.1184,47.74,26.91,67.98,100,2106,-820,7282
992.1798,93.93,21.06,105.53,116,2091,-320,6440
992.2517,121.62,2.73,140.05,200,2044,-505,6494
992.3132,123.55,-9.75,122.41,200,2012,-628,6158
992.3854,101.68,-21.06,83.52,163,1983,-358,6314
992.4466,57.27,-26.13,25.80,40,1970,-17,9512
992.5183,5.93,-14.82,-33.24,-66,1999,1398,6998
992.5799,23.50,16.77,24.21,21,2080,462,6343
992.6523,-47.19,19.11,-99.36,-146,2086,1111,9876
992.7133,-18.58,52.65,-16.11,-50,2172,899,8253
992.7855,-13.32,78.39,-6.20,-21,2238,757,6677
992.8465,-7.27,79.95,-7.37,-1,2242,2,10105
992.9186,12.06,91.26,44.97,36,2271,173,8516
992.9799,14.49,70.59,15.49,83,2218,-1021,7066
993.0503,25.19,41.73,40.24,53,2144,-988,6430
993.1132,36.22,22.62,49.25,73,2095,-417,7136
993.1859,68.74,9.75,68.74,142,2062,406,6662
993.2465,80.65,-10.53,80.25,130,2010,543,9489
993.3181,84.30,-18.72,85.77,118,1989,-513,6587
993.3798,77.10,-26.52,73.25,122,1969,-264,6246
993.4512,38.90,-32.76,10.81,44,1953,-780,6430
993.5132,-12.85,-24.18,-53.49,-71,1975,1700,6381
993.5852,11.18,0.39,6.92,-46,2038,1426,6705
993.6468,-43.10,19.89,-72.51,-117,2088,446,10844
993.7182,-54.43,42.51,-77.04,-125,2146,471,8190
993.7812,-63.68,53.82,-75.77,-126,2175,514,9013
993.8528,-62.16,63.57,-60.92,-101,2200,170,9871
993.9132,-29.52,70.20,-7.42,-77,2217,556,9851
993.9862,12.44,61.62,40.01,77,2195,-529,7633
994.0474,31.33,60.45,58.65,70,2192,-448,10332
994.1193,75.65,44.85,125.79,170,2152,1070,7555
994.1802,126.69,28.86,169.42,200,2111,-391,11083
994.2521,152.08,25.35,152.08,200,2102,1627,12070
994.3132,170.14,13.65,176.18,200,2072,-359,9440
994.3855,166.35,6.24,159.82,200,2053,108,6468
994.4464,131.39,1.95,105.26,180,2042,-107,6157
994.5183,81.23,2.34,30.91,52,2043,62,6345
994.5800,12.28,7.41,-45.24,-68,2056,944,6327
994.6516,-12.61,35.10,-47.22,-83,2127,1000,6573
994.7132,-23.16,52.26,-42.55,-71,2171,1075,6141
994.7837,-28.54,71.76,-37.11,-65,2221,666,6425
994.8464,-21.28,80.73,-18.48,-34,2244,399,6927
994.9183,9.17,83.85,28.18,33,2252,-604,7260
994.9797,19.28,77.22,19.28,53,2235,-760,7897
995.0515,30.18,48.36,37.16,47,2161,-1016,7554
995.1132,81.10,47.19,89.43,73,2158,80,6422
995.1841,141.27,39.39,141.27,183,2138,-94,6563
995.2464,180.76,31.59,189.36,200,2118,-109,6708
995.3183,213.80,28.08,224.29,200,2109,115,7153
995.3798,210.15,20.67,206.28,200,2090,-358,6269
995.4510,174.20,21.84,167.98,200,2093,230,6262
995.5132,117.51,16.38,105.65,188,2079,-183,6572
995.5844,33.15,16.77,-15.93,-20,2080,721,6561
995.6464,-6.39,35.49,-44.03,-68,2128,1010,6406
995.7181,-16.05,49.53,-35.76,-72,2164,737,6909
995.7797,-25.02,69.81,-25.02,-63,2216,260,6484
995.8513,-25.29,77.22,-24.31,-40,2235,253,6504
995.9132,-0.19,83.85,2.87,-20,2252,98,6671
995.9844,26.26,67.47,26.26,59,2210,-798,6320
996.0464,47.80,57.72,47.80,64,2185,155,6456
996.1178,100.60,52.26,123.41,114,2171,-105,7375
996.1798,167.38,47.19,167.38,200,2158,-120,9063
996.2511,207.89,33.54,218.90,200,2123,-362,6268
996.3132,208.53,25.35,203.41,200,2102,-546,7136
996.3843,187.81,15.21,175.06,200,2076,-170,6912
996.4464,167.12,16.38,167.12,200,2079,-58,6382
996.5181,114.58,16.38,89.83,155,2079,411,6882
996.5797,35.36,16.77,8.86,119,2080,110,6778
996.6518,-21.74,33.54,-57.22,-101,2123,654,7854
996.7131,-37.18,45.24,-60.71,-95,2153,720,8578
996.7843,-55.13,56.55,-82.05,-114,2182,459,9621
996.8464,-70.23,65.91,-70.23,-112,2206,1036,6437
996.9175,-21.27,75.27,-4.48,-67,2230,790,6655
996.9799,28.09,78.78,28.09,64,2239,-232,9512
997.0516,81.21,73.71,97.82,127,2226,-132,8185
997.1131,153.29,72.15,184.35,173,2222,-40,9843
997.1843,211.63,65.13,211.63,200,2204,-229,6365
997.2465,253.72,60.45,264.91,200,2192,-137,6490
997.3176,296.69,59.28,300.01,200,2189,-231,6720
997.3798,298.11,58.50,299.73,200,2187,552,6567
997.4515,274.93,51.09,245.10,200,2168,-914,6673
997.5132,182.93,46.41,126.09,200,2156,-154,6365
997.5848,102.11,39.00,60.44,115,2137,-540,6623
997.6466,5.92,30.03,-69.09,-99,2114,-421,6975
997.7180,-77.75,29.64,-146.99,-200,2113,152,6482
997.7797,-117.23,33.93,-117.23,-200,2124,319,6485
997.8513,-122.61,39.00,-123.42,-192,2137,-78,6638
997.9132,-107.42,40.56,-97.67,-174,2141,243,6372
997.9844,-77.21,40.95,-77.21,-97,2142,94,6440
998.0466,-7.23,42.51,15.53,4,2146,28,6477
