t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
1554.9133,17.04,0.00,23.09,7,2037,-264,8018
1554.9873,10.84,-11.31,4.54,2,2008,-173,9846
1555.0466,11.31,-15.21,13.67,5,1998,190,11876
1555.1188,12.61,-23.40,13.41,6,1977,-411,6487
1555.1799,8.39,-31.20,4.54,3,1957,-280,6026
1555.2524,12.85,-36.27,17.89,8,1944,-499,8047
1555.3133,4.73,12735.06,-4.13,0,34691,-179,5998
1555.3851,12.89,-44.46,17.30,5,1923,115,6414
1555.4467,11.86,-53.82,6.95,5,1899,-204,6031
1555.5189,11.60,-57.33,6.61,5,1890,-183,6285
1555.5800,8.67,-60.45,7.10,3,1882,-208,6062
1555.6520,6.66,-63.96,1.61,3,1873,-168,7973
1555.7132,11.44,-66.30,14.98,7,1867,-159,5967
1555.7849,-1.79,-67.47,-5.49,-3,1864,248,6722
1555.8466,6.23,-68.25,8.50,4,1862,-153,6330
1555.9181,1.62,-70.20,1.02,-1,1857,-241,6071
1555.9800,-1.17,-69.42,-2.16,-2,1859,112,6259
1556.0519,0.01,-69.03,-1.97,0,1860,-89,6571
1556.1133,-2.33,-65.13,-3.38,-3,1870,511,6102
1556.1847,3.71,-64.74,8.63,3,1871,0,6089
1556.2466,-13.72,-64.74,-21.10,-10,1871,597,6233
1556.3182,-4.04,-61.23,-1.73,0,1880,-151,6112
1556.3800,-6.91,-56.55,-7.57,-3,1892,97,5859
1556.4518,-6.08,-51.48,-6.75,-2,1905,147,6649
1556.5133,-11.91,-48.36,-15.82,-5,1913,395,6503
1556.5838,-3.36,-38.22,-0.16,1,1939,-34,6210
1556.6466,-16.02,-35.49,-22.02,-10,1946,164,6573
1556.7183,-5.23,-26.13,0.51,-9,1970,573,6282
1556.7801,-16.80,-24.96,-24.23,-11,1973,-161,6721
1556.8515,-7.40,-10.92,0.00,0,2009,92,6535
1556.9133,-17.79,-11.31,-22.52,-3,2008,377,6169
1556.9849,-8.45,1.95,-6.48,-1,2042,-22,6031
1557.0466,-16.47,11.70,-18.11,-9,2067,612,6972
1557.1184,-9.42,17.55,-8.47,0,2082,-426,6890
1557.1801,-13.01,28.08,-10.79,-6,2109,471,6490
1557.2519,-10.76,30.42,-14.92,-3,2115,-32,6582
1557.3133,-12.71,39.39,-10.50,-9,2138,612,6449
1557.3846,-8.17,44.46,-14.67,-4,2151,120,6334
1557.4466,-9.20,51.87,-6.45,-4,2170,379,6531
1557.5182,-7.44,53.82,-9.41,-3,2175,-108,6531
1557.5800,-10.27,59.28,-11.03,-5,2189,91,8073
1557.6517,-4.10,62.79,1.00,0,2198,-474,7679
1557.7133,-7.55,64.74,-7.32,-5,2203,116,6535
1557.7850,-3.12,68.64,-2.79,-1,2213,264,7057
1557.8466,-3.69,70.20,-4.27,-2,2217,238,6801
1557.9183,-1.82,69.03,-2.06,0,2214,-131,6271
1557.9801,-0.45,70.20,0.38,0,2217,-74,8028
1558.0519,2.43,71.76,4.51,1,2221,312,6996
1558.1133,2.49,68.64,2.30,2,2213,-80,8654
1558.1849,2.19,63.96,-1.93,1,2201,-389,6929
1558.2466,5.29,64.35,9.77,3,2202,119,6642
1558.3186,5.16,58.89,4.02,3,2188,-328,7574
1558.3802,8.66,53.43,11.24,5,2174,-492,8114
1558.4521,3.82,44.85,3.36,1,2152,-696,7110
1558.5131,11.72,44.46,16.49,7,2151,-85,6726
1558.5853,6.28,35.49,-2.65,2,2128,-249,7176
1558.6466,12.65,33.15,16.22,7,2122,-7,8831
1558.7171,11.58,21.45,6.72,5,2092,-654,6111
1558.7800,11.48,19.11,12.87,3,2086,-93,6283
1558.8519,8.68,5.07,3.51,4,2050,-256,6648
1558.9135,14.24,1.95,21.06,8,2042,31,8009
1558.9849,5.88,-8.58,1.33,1,2015,348,7612
1559.0467,16.97,-11.31,22.27,10,2008,6,7016
1559.1177,6.54,-21.84,4.31,0,1981,-90,6087
1559.1800,16.59,-24.96,20.13,9,1973,-284,6599
1559.2517,6.08,-35.49,3.87,-1,1946,-116,6752
1559.3134,12.04,-39.78,9.85,8,1935,-379,6538
1559.3851,5.80,-44.85,6.34,-1,1922,-249,6877
1559.4466,16.60,-46.02,21.05,8,1919,98,6475
1559.5187,1.55,-59.28,-3.32,-5,1885,24,6213
1559.5800,11.77,-60.06,15.60,7,1883,-322,6669
1559.6520,5.66,-63.96,1.73,5,1873,-533,6270
1559.7136,5.20,-65.52,6.96,2,1869,105,9683
1559.7849,2.40,-69.03,-4.62,0,1860,30,8347
1559.8466,2.92,-69.03,4.98,1,1860,-187,9239
1559.9177,1.82,-70.20,-0.15,0,1857,147,7088
1559.9800,0.06,-70.20,-2.06,0,1857,-70,6959
1560.0521,-0.16,-68.64,-0.07,-1,1861,225,8059
1560.1133,0.20,-67.08,-0.19,0,1865,3,9920
1560.1852,-1.82,-65.13,-5.95,-1,1870,181,7922
1560.2466,-0.01,-64.35,-0.01,0,1872,0,8712
1560.3182,-11.89,-63.18,-17.68,-9,1875,137,8720
1560.3800,-2.69,-57.33,0.03,0,1890,69,7518
1560.4505,-9.64,-53.43,-12.63,-7,1900,260,6643
1560.5137,-7.21,-49.92,-8.58,-2,1909,112,8676
1560.5851,-9.59,-39.78,-6.59,-4,1935,294,8416
1560.6466,-6.78,-37.83,-9.68,0,1940,-24,10309
1560.7179,-13.59,-25.35,-11.26,-7,1972,608,6909
1560.7800,-7.11,-24.57,-10.30,0,1974,-91,7019
1560.8510,-15.70,-12.87,-15.64,-10,2004,1062,7086
1560.9135,-8.76,-10.92,-10.40,0,2009,-30,7469
1560.9852,-11.13,2.34,-6.11,-4,2043,291,7793
1561.0465,-13.57,3.12,-17.41,-5,2045,29,9310
1561.1180,-6.46,17.94,0.16,0,2083,-15,7147
1561.1800,-15.61,20.67,-20.23,-9,2090,303,7343
1561.2512,-4.85,30.81,-1.99,1,2116,175,8823
1561.3134,-17.01,31.98,-22.24,-10,2119,49,7909
1561.3849,-3.40,44.07,3.50,2,2150,428,7551
1561.4465,-15.53,42.51,-23.05,-5,2146,-211,8946
1561.5182,-2.86,54.60,9.47,4,2177,218,7206
1561.5800,-11.50,55.77,-17.32,-6,2180,257,6818
1561.6513,-6.86,64.35,-1.05,-3,2202,182,7655
1561.7132,-5.87,62.79,-8.61,0,2198,-110,6430
1561.7849,-4.03,67.47,2.18,0,2210,-26,7503
1561.8465,-3.76,68.25,-7.07,0,2212,129,9018
1561.9178,-2.26,70.20,-0.30,0,2217,-178,6383
1561.9800,-1.27,69.81,2.62,-2,2216,64,8077
1562.0513,2.87,70.59,5.36,3,2218,-279,6693
1562.1133,0.31,71.37,0.14,-1,2220,939,6392
1562.1853,3.68,65.91,5.07,3,2206,-178,7392
1562.2465,2.95,63.57,1.29,2,2200,-6,8902
1562.3180,3.25,59.67,5.05,1,2190,-351,7036
1562.3798,9.93,56.16,14.54,7,2181,-255,7539
1562.4513,2.14,46.41,0.03,1,2156,-68,6215
1562.5133,7.48,45.63,11.05,4,2154,0,6568
1562.5847,7.67,38.61,6.81,6,2136,-474,6536
1562.6465,6.38,32.76,9.87,1,2121,-294,8730
1562.7182,13.78,24.57,16.66,9,2100,-785,6538
1562.7800,5.99,19.50,6.81,0,2087,52,6750
1562.8513,13.36,12.87,15.18,9,2070,-263,6487
1562.9132,7.62,2.73,10.07,2,2044,-444,6698
1562.9848,10.39,-5.85,8.65,8,2022,-492,6611
1563.0465,12.56,-8.58,16.62,6,2015,-6,6359
1563.1183,6.77,-17.16,2.84,9,1993,-959,6627
1563.1799,15.13,-23.01,21.12,8,1978,-103,6472
1563.2512,4.46,-33.54,-1.16,-1,1951,-176,6281
1563.3132,15.45,-34.71,21.41,5,1948,-12,6633
1563.3849,2.39,-44.46,-4.60,-3,1923,45,6265
1563.4465,16.18,-46.02,21.33,10,1919,-354,6614
1563.5183,7.23,-56.94,-4.04,0,1891,228,6573
1563.5801,10.44,-56.94,14.40,5,1891,-251,10788
1563.6516,5.65,-63.57,-0.16,2,1874,-91,6996
1563.7134,3.54,-64.74,3.97,0,1871,61,8013
1563.7930,9.06,-73.71,6.06,6,1848,-1009,13398
1563.8478,-3.45,-69.42,-7.07,0,1859,41,22355
1563.9330,-2.96,-68.25,-1.67,-2,1862,-77,29093
1563.9800,2.67,-68.25,3.53,-2,1862,-77,35755
1564.0547,5.96,-69.03,6.58,3,1860,-464,19926
1564.1144,3.53,-72.15,2.67,2,1852,-206,16267
1564.1913,-11.91,-73.71,-19.44,-7,1848,-298,9301
1564.2565,-17.71,-66.30,-22.87,-12,1867,454,20428
1564.3285,23.33,-51.09,37.72,16,1906,22,13011
1564.3885,-8.16,-64.74,-32.23,-8,1871,4,12089
1564.4603,-4.69,-50.31,20.32,-20,1908,880,9085
1564.5218,1.49,-58.89,0.22,5,1886,-480,11180
1564.5929,-32.65,-45.63,-28.86,-24,1920,1412,11415
1564.6551,0.49,-35.49,13.89,8,1946,-33,8943
1564.7265,-23.41,-35.10,-31.40,-17,1947,792,6564
1564.7884,-2.52,-21.06,7.72,1,1983,245,8992
1564.8596,-18.28,-22.23,-25.72,-10,1980,75,6886
1564.9217,-5.05,-6.63,4.03,1,2020,331,8425
1564.9936,-18.75,-3.51,-24.88,-11,2028,563,6348
1565.0550,-11.01,3.90,-8.94,-5,2047,125,7057
1565.1265,-11.81,14.43,-10.92,-6,2074,297,7154
1565.1884,-14.28,18.72,-17.82,-4,2085,99,8831
1565.2600,-4.27,30.81,1.20,1,2116,94,6401
1565.3217,-17.06,31.59,-22.97,-9,2118,163,7861
1565.3938,-3.16,43.29,7.62,-11,2148,854,6172
1565.4550,-14.01,43.29,-19.49,-7,2148,222,6498
1565.5268,-6.44,56.16,3.81,-2,2181,630,6305
1565.5885,-8.45,56.16,-12.35,-3,2181,722,10804
1565.6597,-10.57,65.52,-7.80,-6,2205,1226,6587
1565.7217,-1.48,63.18,1.30,1,2199,-187,6851
1565.7934,-7.47,66.69,-7.01,-5,2208,326,6900
1565.8551,-1.78,68.25,-0.57,0,2212,146,6444
1565.9272,-3.86,69.03,-3.57,-2,2214,1,6262
1565.9887,-2.66,70.98,-2.80,-1,2219,163,6625
1566.0599,4.09,71.37,7.82,4,2220,-147,6966
1566.1217,0.82,67.47,-0.03,0,2210,-140,7565
1566.1937,3.24,67.47,4.79,2,2210,46,6711
1566.2551,2.25,63.18,1.60,1,2199,-475,6501
1566.3269,2.21,59.28,2.58,1,2189,-295,6606
1566.3884,6.95,58.89,10.58,4,2188,88,6272
1566.4597,6.81,55.38,5.62,7,2179,287,6335
1566.5218,5.48,43.29,7.63,3,2148,-172,6506
1566.5934,11.72,43.29,16.22,8,2148,309,6618
1566.6550,1.87,31.59,-2.32,-2,2118,-85,10875
1566.7267,14.79,30.42,22.78,10,2115,-226,6712
1566.7884,6.27,17.55,1.02,8,2082,-1087,7297
1566.8595,13.73,17.94,17.80,7,2083,764,6569
1566.9218,5.30,4.68,3.34,0,2049,55,8666
1566.9935,18.47,1.17,23.77,12,2040,362,6254
1567.0551,4.76,-10.92,0.89,1,2009,-449,8281
1567.1269,14.44,-18.72,15.63,9,1989,-975,6656
1567.1885,9.98,-22.62,12.91,6,1979,-63,7038
1567.2599,7.61,-33.93,4.62,3,1950,-1215,6784
1567.3217,12.17,-34.32,17.09,7,1949,-208,6413
1567.3934,5.75,-40.95,-0.03,10,1932,-471,6205
1567.4551,6.93,-46.41,11.59,5,1918,124,6620
1567.5269,5.21,-55.77,2.56,4,1894,-87,6513
1567.5885,6.95,-58.11,11.82,3,1888,-278,6259
1567.6598,7.28,-63.57,7.05,4,1874,-435,9592
1567.7217,2.22,-65.52,-0.97,1,1869,-271,5983
1567.7933,6.24,-65.13,9.56,4,1870,-59,6617
1567.8551,-1.34,-70.20,-7.27,-3,1857,-64,6844
1567.9266,4.11,-66.69,7.16,1,1866,258,6412
1567.9884,0.29,-70.59,-2.67,0,1856,49,6428
1568.0601,1.49,-69.03,2.23,-1,1860,12,7092
1568.1217,-0.44,-69.81,-2.66,0,1858,39,6764
1568.1932,-2.01,-67.08,-4.05,-3,1865,266,6942
1568.2551,6.66,-64.74,16.37,0,1871,-129,9272
1568.3268,-11.00,-63.57,-17.01,-9,1874,281,6953
1568.3885,-2.02,-60.45,-0.85,-1,1882,156,6982
1568.4601,-7.09,-58.89,-9.60,-3,1886,227,6909
1568.5217,-3.92,-51.48,-3.09,-1,1905,272,6639
1568.5936,-12.02,-44.46,-17.40,-8,1923,934,6465
