t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
503.5521,6.58,-62.79,7.96,1,1876,-1000,6471
503.6137,3.13,-63.57,0.45,1,1874,14,7827
503.6855,3.55,-64.35,0.51,1,1872,-74,6097
503.7471,5.96,-65.13,1.69,3,1870,-14,6335
503.8189,-0.10,-66.69,-0.77,-1,1866,-92,7345
503.8804,2.14,-67.86,0.85,1,1863,-207,6807
503.9533,-0.91,-68.64,-3.79,-2,1861,-134,8991
504.0136,-1.73,-65.91,-1.62,-1,1868,100,9399
504.0855,-1.97,-65.13,-5.05,-1,1870,171,7795
504.1472,-4.75,-63.96,-8.33,-2,1873,-23,9249
504.2190,-1.66,-60.45,-2.60,1,1882,565,6838
504.2803,-3.22,-57.72,-3.82,0,1889,-30,7060
504.3521,-6.28,-54.60,-9.99,-4,1897,146,6434
504.4136,-9.57,-47.58,-11.45,-6,1915,618,6677
504.4843,-4.92,-43.68,-6.62,-1,1925,-189,5960
504.5471,-15.06,-39.78,-19.14,-10,1935,57,7298
504.6194,-3.89,-27.30,0.38,1,1967,220,8013
504.6802,-15.25,-26.13,-19.57,-9,1970,325,5948
504.7518,-10.26,-13.65,-1.26,-2,2002,266,6324
504.8136,-15.24,-12.87,-19.72,-9,2004,108,6699
504.8851,-7.24,3.51,0.51,-1,2046,1256,6257
504.9471,-17.75,-1.17,-23.16,-8,2034,50,6660
505.0187,-8.44,9.75,-3.90,-11,2062,508,6394
505.0804,-15.46,19.89,-17.82,-9,2088,474,6878
505.1521,-6.55,27.30,-6.07,-1,2107,191,6904
505.2136,-15.74,34.71,-17.88,-10,2126,669,6181
505.2849,-7.19,40.95,-6.75,-3,2142,-152,6577
505.3472,-14.70,44.46,-13.36,-9,2151,152,6435
505.4188,-3.10,51.09,-3.33,0,2168,-112,7078
505.4804,-14.51,55.77,-18.87,-9,2180,500,6678
505.5522,-1.15,63.96,8.73,4,2201,-119,7516
505.6136,-9.16,61.23,-13.88,-6,2194,-3,6738
505.6877,-5.35,71.76,4.28,-2,2221,451,11973
505.7473,-1.25,70.20,0.14,5,2217,-93,7139
505.8204,-6.54,71.76,-5.52,-4,2221,195,7129
505.8809,4.81,75.66,11.33,4,2231,177,11521
505.9536,-6.55,70.98,-13.28,-5,2219,17,10186
506.0137,7.74,78.00,17.01,6,2237,121,12684
506.0850,-1.71,67.86,-10.21,-5,2211,-464,7203
506.1472,1.59,71.37,5.09,0,2220,-152,7054
