t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
380.9507,-58.52,-25.74,-74.42,-31,1971,1314,6602
381.0219,-45.23,28.08,-47.35,-33,2109,1600,6464
381.0840,-31.32,56.55,-30.13,-17,2182,586,6473
381.1562,-5.20,73.71,7.15,-2,2226,263,6746
381.2174,33.91,65.91,55.92,24,2206,-848,6585
381.2892,52.15,30.42,70.08,35,2115,-1241,6402
381.3507,45.06,-11.31,54.99,27,2008,-1163,7130
381.4222,46.29,-44.07,51.54,29,1924,-1246,6427
381.4841,16.10,-67.08,6.13,7,1865,-332,6479
381.5556,-8.45,-65.13,-21.78,-9,1870,338,6589
381.6174,-31.96,-55.38,-53.06,-21,1895,623,6137
381.6887,-50.34,-17.16,-68.43,-32,1993,1872,6541
381.7507,-46.78,23.40,-54.93,-30,2097,1427,8407
381.8220,-39.85,47.58,-41.43,-28,2159,1337,6576
381.8841,-7.30,70.20,4.51,-22,2217,-561,6358
381.9556,-15.52,65.13,-15.52,-6,2204,257,7085
382.0174,66.18,66.69,92.26,17,2208,-490,6273
382.0887,72.24,9.36,80.49,47,2061,-2377,6441
382.1507,47.06,-35.49,43.36,25,1946,-1476,6884
382.2219,31.38,-59.67,25.12,13,1884,-752,5988
382.2841,11.98,-65.13,-0.27,7,1870,-270,6597
382.3559,-26.08,-64.74,-48.13,-18,1871,-57,7061
382.4174,-52.25,-32.76,-73.69,-34,1953,1670,6031
382.4889,-47.70,14.04,-56.61,-31,2073,2289,6960
382.5507,-41.30,44.46,-45.87,-24,2151,1060,6898
382.6220,-23.61,53.04,-15.87,-22,2173,1496,6503
382.6840,10.23,72.15,26.88,8,2222,-214,6762
382.7557,38.83,62.40,58.64,21,2197,-1001,6905
382.8175,48.30,36.27,63.30,31,2130,-1309,6243
382.8888,54.70,-19.11,65.65,34,1988,-1525,6704
382.9507,35.94,-56.94,33.67,22,1891,-1213,6301
383.0223,8.77,-68.25,-1.24,2,1862,-123,6521
383.0841,-13.22,-66.69,-27.54,-8,1866,7,6751
383.1561,-47.47,-49.92,-55.32,-19,1909,884,6238
383.2175,-79.74,-42.90,-91.90,-26,1927,1275,6157
383.2889,-64.88,35.88,-63.62,-35,2129,1958,6817
383.3507,-27.54,66.30,-14.80,-9,2207,811,6492
383.4220,-10.67,69.81,2.28,-1,2216,25,6219
383.4841,19.81,67.08,42.21,5,2209,-210,7210
383.5557,50.33,35.10,74.77,32,2127,-1490,6274
383.6174,49.46,-2.73,61.12,36,2030,-1767,6692
383.6888,37.26,-44.07,41.74,21,1924,-883,6594
383.7507,23.90,-61.62,19.58,17,1879,-753,6023
383.8221,-10.99,-72.15,-26.98,-9,1852,133,6179
383.8841,-36.70,-63.57,-55.18,-20,1874,466,6563
383.9558,-47.44,-28.08,-61.44,-29,1965,1077,6001
384.0175,-49.59,22.62,-56.86,-30,2095,1672,6320
384.0889,-37.53,42.51,-37.47,-27,2146,1707,7680
384.1507,-14.01,70.20,-4.63,-11,2217,560,6330
384.2220,17.10,72.15,35.31,7,2222,-41,6400
384.2841,48.05,44.07,69.52,31,2150,-1150,6846
384.3558,51.20,23.40,64.75,32,2097,-1663,6318
384.4175,48.41,-30.42,56.21,28,1959,-1319,6383
384.4890,29.98,-61.62,26.32,16,1879,-366,6850
384.5507,-0.58,-68.25,-14.55,3,1862,170,6419
384.6221,-23.87,-59.67,-39.19,-18,1884,830,6324
384.6841,-42.72,-39.78,-58.87,-24,1935,1164,6386
384.7552,-61.13,5.07,-78.53,-36,2050,1775,6603
384.8175,-38.08,49.53,-35.49,-24,2164,1721,6148
384.8887,-17.87,68.64,-11.46,-7,2213,505,6665
384.9508,0.14,70.59,12.71,2,2218,1,6401
385.0237,38.97,66.69,61.31,12,2208,-172,10838
385.0841,54.96,37.83,75.50,33,2134,-1382,12349
385.1562,48.50,-12.48,45.44,36,2005,-1443,9005
385.2174,35.00,-48.75,34.17,19,1912,-767,6408
385.2879,14.16,-72.15,4.56,6,1852,-1263,6461
385.3507,-22.97,-65.91,-43.52,-16,1868,135,6419
385.4215,-45.54,-38.22,-64.61,-30,1939,1161,6728
385.4840,-48.94,0.00,-62.17,-30,2037,1449,6117
385.5551,-48.73,35.88,-57.41,-28,2129,1410,6306
385.6173,-27.21,68.64,-21.80,-15,2213,843,6810
385.6881,3.13,72.93,15.64,6,2224,-231,6371
385.7507,30.60,59.28,49.84,20,2189,-1264,6140
385.8215,45.70,34.32,62.26,28,2125,-1382,6600
385.8840,53.56,-13.26,66.05,32,2003,-1381,6094
385.9550,45.15,-37.05,49.26,26,1942,-1167,6186
386.0173,17.17,-66.30,9.48,7,1867,-221,6819
386.0880,-12.29,-66.69,-27.31,-11,1866,245,6489
386.1507,-31.41,-47.97,-47.38,-22,1914,1115,6323
386.2215,-50.47,-13.65,-65.81,-32,2002,1629,6761
386.2840,-55.12,15.21,-64.61,-33,2076,1867,6333
386.3549,-35.17,44.46,-31.09,-29,2151,1178,6228
386.4173,-7.03,74.49,4.59,-1,2228,288,7073
386.4880,22.05,70.59,39.59,13,2218,-356,6288
386.5507,39.16,38.61,54.14,28,2136,-1184,6469
386.6214,56.51,1.56,75.23,30,2041,-1991,6777
386.6840,47.74,-28.47,51.41,33,1964,-1718,6262
386.7549,23.01,-63.18,16.67,15,1875,-634,6166
386.8174,0.55,-68.64,-11.85,-2,1861,-266,6086
386.8883,-27.04,-59.67,-45.79,-18,1884,846,6197
386.9507,-49.09,-27.69,-67.71,-34,1966,1759,6136
387.0214,-52.55,15.60,-63.90,-33,2077,1858,6141
387.0840,-40.39,47.19,-44.48,-22,2158,1155,6738
387.1549,-19.87,62.40,-12.06,-20,2197,883,6450
387.2173,13.11,62.40,29.69,-20,2197,883,7089
387.2882,39.31,62.40,56.82,-20,2197,883,6309
387.3507,45.33,13.26,58.15,28,2071,-1551,6569
387.4213,50.75,-23.01,60.65,28,1978,-1461,6762
387.4840,39.63,-41.73,37.55,30,1930,-1448,6147
