t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
923.1549,18.18,63.57,38.58,18,2200,-872,6929
923.2173,20.83,35.88,30.57,20,2129,-1261,6893
923.2879,24.72,14.82,35.80,18,2075,-926,6165
923.3507,37.98,-7.02,49.33,26,2019,-1182,6645
923.4216,22.40,-24.96,19.55,28,1973,-1437,6301
923.4840,15.44,-60.45,12.96,7,1882,94,6290
923.5548,15.33,-67.86,11.20,10,1863,-150,6660
923.6173,-11.75,-73.71,-29.40,-2,1848,-345,6129
923.6881,-16.52,-57.33,-26.63,-16,1890,723,6006
923.7507,-35.70,-31.59,-58.77,-32,1956,1283,6887
923.8214,-23.65,-12.48,-26.87,-35,2005,1537,6676
923.8840,-32.40,24.96,-46.85,-20,2101,706,6308
923.9548,-24.07,57.72,-21.27,-18,2185,812,6710
924.0173,-6.05,68.64,0.34,0,2213,286,6295
924.0879,-9.51,67.08,-5.70,-4,2209,-40,6346
924.1507,18.99,68.25,40.89,10,2212,-87,6860
924.2214,21.92,58.11,32.57,24,2186,-811,6429
924.2840,25.66,58.11,36.82,24,2186,-811,6470
924.3548,35.40,-15.99,45.61,27,1996,-1229,6774
924.4173,29.91,-37.83,32.47,26,1940,-1339,6369
924.4880,12.04,-60.06,5.74,11,1883,-1225,6255
924.5507,18.97,-65.13,18.65,11,1870,-286,6595
924.6214,-8.08,-65.91,-27.12,-12,1868,539,6391
924.6842,-17.40,-55.77,-32.79,-18,1894,861,6034
924.7581,-14.81,-55.77,-24.98,-18,1894,861,10441
924.8177,-33.45,-8.19,-48.50,-24,2016,1389,9010
924.8895,-23.99,33.54,-24.52,-17,2123,1141,8886
924.9508,-26.13,45.24,-32.32,-13,2153,395,9667
925.0221,-14.34,66.69,-4.63,-15,2208,1153,6460
925.0841,-2.61,69.81,-2.61,-2,2216,49,6339
925.1554,17.71,69.03,31.07,6,2214,-174,7087
925.2175,24.34,46.41,29.17,23,2156,-1584,6579
925.2890,26.90,21.06,35.71,19,2091,-587,6538
925.3508,39.92,-14.04,48.69,32,2001,-1300,6817
925.4222,22.16,-43.29,18.57,11,1926,-1193,6314
925.4842,27.40,-51.87,30.98,13,1904,-718,6029
925.5554,4.82,-70.20,-9.16,1,1857,-53,6393
925.6175,-3.78,-68.64,-10.12,-10,1861,266,6135
925.6890,-7.93,-55.77,-20.04,-6,1894,218,5850
925.7508,-30.18,-45.63,-48.19,-17,1920,612,7013
925.8222,-28.41,-2.73,-39.47,-19,2030,1037,6146
925.8842,-29.40,8.97,-36.25,-23,2060,1191,6028
925.9555,-22.85,46.80,-25.34,-13,2157,458,7110
926.0174,-16.84,67.47,-11.10,-12,2210,536,6377
926.0890,-3.17,69.81,5.34,0,2216,131,6326
926.1508,15.59,61.23,32.76,16,2194,-1020,6971
926.2219,18.43,43.29,34.43,19,2148,-328,6255
926.2842,27.66,23.40,39.89,20,2097,-772,6528
926.3555,29.74,-8.19,37.70,24,2016,-1080,7119
926.4175,28.43,-38.61,28.43,16,1938,-580,6049
926.4888,19.90,-51.48,14.05,15,1905,-987,6702
926.5508,10.44,-65.52,1.98,6,1869,-258,7412
926.6226,-1.12,-68.64,-18.42,-3,1861,-150,6382
926.6842,-17.58,-54.99,-37.18,-17,1896,921,6977
926.7563,-22.13,-54.99,-34.69,-17,1896,921,7286
926.8175,-31.96,-2.73,-43.99,-27,2030,1196,6418
926.8890,-28.22,29.25,-33.68,-18,2112,851,6691
926.9508,-27.51,44.85,-32.49,-17,2152,727,7247
927.0219,-11.52,69.42,3.55,-7,2215,52,6468
927.0841,-3.34,69.81,5.45,2,2216,-108,7340
927.1555,11.44,61.62,26.69,13,2195,-585,7444
927.2174,16.84,41.73,27.42,17,2144,-681,6085
927.2892,27.60,29.25,39.77,20,2112,-1018,6721
927.3509,33.21,7.02,37.67,23,2055,-1486,6429
927.4220,23.98,-44.46,30.97,15,1923,-740,7396
927.4841,25.37,-60.06,26.16,16,1883,-471,7188
927.5552,3.42,-69.42,-10.22,5,1859,-237,7222
927.6175,3.92,-63.57,2.14,-6,1874,402,6560
927.6889,-17.58,-63.18,-36.70,1,1875,70,7031
927.7508,-45.21,-51.09,-68.02,-28,1906,1295,6681
927.8222,-11.63,0.78,-4.35,-21,2039,1184,6328
927.8841,-38.50,20.67,-57.14,-26,2090,828,7579
927.9548,-25.53,63.96,-3.98,-10,2201,915,6678
928.0175,-7.02,64.74,-0.55,3,2203,-188,6185
928.0891,-10.05,69.03,-4.88,-6,2214,-13,6918
928.1508,18.58,68.25,40.79,10,2212,-81,6723
928.2218,21.07,37.44,27.69,24,2133,-1294,6701
928.2842,23.86,18.33,34.57,18,2084,-322,6933
928.3547,34.83,-18.33,49.20,24,1990,-820,6417
928.4175,26.53,-44.85,26.55,18,1922,-916,6050
928.4889,14.88,-60.45,10.70,8,1882,-257,7076
928.5509,13.45,-69.42,-3.43,4,1859,-82,6045
928.6221,-8.78,-65.52,-23.15,-11,1869,221,6261
928.6841,-11.11,-49.53,-21.07,-13,1910,703,6907
928.7549,-26.07,-26.91,-53.65,-26,1968,1143,6181
928.8174,-32.29,1.56,-43.71,-28,2041,1546,6351
928.8890,-26.25,29.25,-34.22,-16,2112,630,6945
928.9507,-28.18,46.41,-17.99,-24,2156,840,6645
929.0224,-8.61,67.86,-0.03,-7,2211,360,6516
929.0841,-5.11,68.25,1.30,0,2212,0,7161
929.1549,14.38,55.77,35.78,19,2180,-1283,7184
929.2175,18.89,39.39,27.96,19,2138,-857,6525
