t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
1385.0005,-2.85,45.63,-12.17,-1,2154,-724,10278
1385.0713,0.68,56.16,6.04,-8,2181,692,6942
1385.1337,11.36,57.33,11.52,11,2184,-63,6601
1385.2042,-6.70,42.12,-13.13,-7,2145,-16,6275
1385.2670,11.50,50.31,19.63,1,2166,850,7129
1385.3378,1.43,43.68,-6.01,11,2149,-546,6677
1385.4004,-3.75,37.83,-3.25,-9,2134,245,6257
1385.4723,13.65,36.27,20.82,10,2130,-195,9741
1385.5339,-1.28,33.15,-7.54,6,2122,-351,7829
1385.6061,3.12,31.59,8.30,-6,2118,275,7660
1385.6673,12.45,25.74,18.31,12,2103,-768,6852
1385.7379,-7.84,19.50,-14.64,-7,2087,173,6784
1385.8004,8.03,23.79,16.96,-7,2098,468,7012
1385.8716,6.24,13.26,3.81,9,2071,-189,6901
1385.9337,-6.07,14.43,-8.91,-8,2074,518,6842
1386.0046,19.70,14.43,33.66,16,2074,-736,6534
1386.0671,-3.19,-4.68,-14.15,1,2025,-464,7329
1386.1379,1.58,-5.07,7.43,-9,2024,35,6616
1386.2004,17.54,7.02,23.29,11,2055,-329,6629
1386.2713,-6.90,-8.58,-15.02,-8,2015,241,6922
1386.3337,9.43,-3.90,16.43,5,2027,-34,6849
1386.4045,7.63,-15.21,2.93,6,1998,-419,6301
1386.4671,-0.35,-16.38,-3.73,-5,1995,21,7428
1386.5377,13.85,-16.38,19.37,7,1995,-115,6646
1386.6004,5.81,-23.79,1.72,8,1976,-630,6233
1386.6712,-1.56,-24.57,-3.31,-6,1974,299,7049
1386.7339,14.45,-17.55,20.56,3,1992,1400,7310
1386.8045,-4.85,-34.32,-17.69,1,1949,-288,6472
1386.8670,9.43,-29.64,15.04,3,1961,40,7386
1386.9378,11.46,-41.73,9.63,11,1930,-1160,6411
1387.0004,-4.72,-40.56,-9.86,-7,1933,909,6024
1387.0711,12.65,-39.00,19.40,4,1937,-61,7088
1387.1337,3.00,-48.75,-1.43,2,1912,-372,6615
1387.2054,3.87,-47.58,5.14,-1,1915,-151,7714
1387.2670,7.68,-49.53,8.38,7,1910,-554,7376
1387.3376,-4.67,-55.77,-9.34,-7,1894,230,6347
1387.4004,13.60,-49.53,22.72,-2,1910,55,6639
1387.4711,-0.75,-63.18,-8.63,1,1875,-345,7161
1387.5337,-1.11,-58.11,0.46,-6,1888,676,6301
1387.6045,9.14,-61.23,12.73,8,1880,-317,6562
1387.6670,-4.17,-66.30,-11.73,-4,1867,185,7281
1387.7394,1.50,-61.23,12.25,-3,1880,55,9996
1387.8005,11.96,-68.64,14.20,11,1861,-351,10223
1387.8712,-6.89,-68.64,-13.58,-10,1861,5,7135
1387.9337,15.72,-64.35,26.70,11,1872,-569,6728
1388.0045,-3.43,-71.76,-13.01,6,1853,-238,6718
1388.0670,-2.92,-68.25,-3.93,-5,1862,-29,7301
1388.1379,7.09,-67.08,10.13,6,1865,316,6536
1388.2004,0.49,-67.08,-2.91,6,1865,406,6353
1388.2760,-1.41,-69.81,-2.42,-3,1858,80,8382
1388.3339,2.49,-67.86,3.04,1,1863,531,7982
1388.4052,1.95,-70.98,1.21,1,1855,-106,6119
1388.4672,-1.58,-69.81,-3.74,0,1858,99,6798
1388.5386,0.51,-69.81,1.12,0,1858,-91,7668
1388.6004,0.16,-69.81,0.16,0,1858,86,6260
1388.6719,0.50,-69.81,0.84,0,1858,-74,6802
1388.7338,-2.59,-69.81,-4.60,-2,1858,-148,7606
1388.8057,-1.19,-67.86,-1.09,-3,1863,-77,6594
1388.8677,-0.20,-67.86,-0.06,0,1863,-102,7250
1388.9399,-3.02,-67.86,-5.16,-2,1863,-28,8210
1389.0004,0.90,-64.74,4.58,-1,1871,184,6161
1389.0716,0.39,-65.91,0.39,3,1868,293,7466
1389.1338,-3.71,-65.52,-1.38,-3,1869,123,6519
1389.2053,1.05,-62.40,5.67,6,1877,251,6376
1389.2672,-9.20,-65.13,-8.88,-4,1870,-234,6646
1389.3386,-8.55,-65.13,-1.90,-4,1870,-234,6467
1389.4004,-4.84,-57.72,-1.80,0,1889,0,6067
1389.4715,-6.88,-53.04,-1.06,-3,1901,-85,7956
1389.5339,-3.48,-52.65,0.23,0,1902,-38,7017
1389.6053,-3.05,-48.36,-1.68,0,1913,-216,6517
1389.6672,-5.91,-44.85,-6.57,-1,1922,237,6854
1389.7386,-6.09,-42.12,-2.79,-4,1929,419,6491
1389.8004,-3.34,-40.56,-2.58,0,1933,55,6191
1389.8714,-3.67,-35.10,-2.36,-2,1947,-42,7248
1389.9338,-3.49,-33.15,-2.04,-2,1952,401,6234
1390.0054,-6.86,-30.03,-8.26,-3,1960,249,6410
1390.0672,-1.78,-25.74,0.65,0,1971,56,6760
1390.1384,-5.21,-26.13,-9.14,2,1970,-75,6630
1390.2004,-6.95,-21.45,-6.68,-7,1982,336,5922
1390.2715,-4.80,-16.77,-6.30,-3,1994,-210,7381
1390.3338,-3.37,-14.04,-2.49,-3,2001,168,6322
1390.4051,-2.97,-12.48,-3.37,-1,2005,74,6067
1390.4672,-5.29,-7.02,-5.51,-3,2019,-12,6777
1390.5385,-5.91,-3.90,-5.07,-5,2027,26,6716
1390.6005,-2.15,0.39,-0.35,0,2038,112,6545
1390.6713,-4.18,5.85,-5.56,-2,2052,368,7491
1390.7338,-5.01,7.41,-5.82,-3,2056,56,6833
1390.8050,-6.17,7.41,-6.27,-3,2056,56,6191
1390.8672,0.59,16.77,4.17,1,2080,-21,6647
1390.9388,-8.54,15.21,-12.62,0,2076,81,6400
1391.0004,-2.18,24.57,0.91,-1,2100,163,6573
1391.0717,-3.88,23.79,-9.42,0,2098,-88,7416
1391.1339,-6.36,27.69,-5.62,-7,2108,276,6341
1391.2044,-2.44,32.37,-3.31,0,2120,0,6655
1391.2672,-6.65,32.37,-8.94,-2,2120,-90,7077
1391.3386,-5.22,34.71,-1.32,-5,2126,248,6545
1391.4005,1.33,40.95,0.77,2,2142,-161,6245
1391.4716,-5.70,41.73,-7.46,-1,2144,82,7688
1391.5338,-1.23,41.73,0.92,-1,2144,82,6515
1391.6045,-6.17,45.63,-8.26,-4,2154,-159,6928
1391.6672,-3.10,53.43,-0.86,-5,2174,339,6635
1391.7386,-0.48,53.82,-3.79,2,2175,48,6601
1391.8004,-5.86,56.16,-3.77,-4,2181,801,6339
1391.8716,0.31,58.50,3.51,2,2187,-9,7616
1391.9339,-3.71,58.11,-5.88,-1,2186,134,7077
1392.0045,-4.77,61.23,-3.87,-4,2194,420,7019
1392.0672,-0.67,62.40,1.53,-1,2197,-187,7137
1392.1388,-2.37,62.79,-2.02,1,2198,159,7038
1392.2004,-1.09,65.91,2.50,2,2206,-4,6232
1392.2715,0.49,65.13,-2.52,1,2204,-22,7430
1392.3339,-6.62,65.13,-9.54,-3,2204,17,6549
1392.4045,4.00,69.42,10.69,0,2215,110,7181
1392.4672,-2.26,65.91,-5.80,1,2206,-108,7037
1392.5389,-3.81,66.30,-0.82,-3,2207,47,6963
1392.6005,6.07,71.37,9.63,5,2220,-257,6633
1392.6716,-6.75,68.64,-12.75,-7,2213,540,7559
1392.7339,2.98,70.59,9.54,-7,2218,393,6779
1392.8045,1.68,75.66,-9.60,0,2231,2492,7722
1392.8674,-8.92,67.08,-14.32,-6,2209,36,10898
1392.9376,13.40,71.37,20.27,12,2220,-564,6744
1393.0005,-4.40,62.01,-15.75,0,2196,-110,7082
1393.0715,-3.69,62.79,14.02,-9,2198,297,7575
1393.1337,8.99,66.30,6.10,15,2207,-679,6554
1393.2045,-8.96,60.45,-17.55,-8,2192,199,6803
1393.2672,0.91,65.52,5.74,-8,2205,506,7026
1393.3376,9.45,60.84,8.88,10,2193,-658,6480
1393.4005,-3.39,56.55,-10.77,-4,2182,-272,6369
1393.4715,3.21,60.84,10.83,4,2193,280,7230
1393.5337,5.31,54.21,3.60,6,2176,-377,5999
1393.6044,-3.79,52.65,-4.89,-3,2172,42,6968
1393.6672,-0.78,52.26,3.41,0,2171,-91,6885
1393.7376,2.86,47.97,4.49,4,2160,-306,6296
1393.8004,0.47,44.46,-0.09,1,2151,-156,5959
1393.8718,2.57,44.07,2.52,0,2150,-66,6914
1393.9337,0.40,43.68,0.62,1,2149,72,6229
1394.0044,3.99,43.68,5.88,1,2149,72,6916
1394.0672,2.77,43.68,2.64,1,2149,72,7171
1394.1377,5.16,33.54,6.50,4,2123,-359,6089
1394.2005,2.50,31.20,0.52,4,2117,-248,6353
1394.2714,2.76,26.52,-1.58,6,2105,-381,6888
1394.3337,2.15,23.79,2.24,3,2098,74,6192
1394.4046,6.02,19.11,4.57,3,2086,-497,7829
1394.4671,1.92,19.11,0.58,3,2086,-497,7043
1394.5376,1.67,13.26,0.88,0,2071,-267,6281
1394.6005,5.94,13.26,7.87,2,2071,-130,6372
1394.6717,7.09,7.80,7.86,5,2057,-98,7483
1394.7337,2.64,0.00,1.90,2,2037,-367,6284
1394.8046,1.76,-4.29,2.76,0,2026,-319,6827
1394.8670,4.46,-6.63,4.89,2,2020,-8,6943
1394.9375,6.38,-6.24,6.54,5,2021,-370,6154
1395.0005,1.21,-14.82,-2.87,-1,1999,13,6834
1395.0710,7.15,-14.04,10.49,2,2001,153,6301
1395.1337,5.02,-16.77,4.65,5,1994,36,6128
1395.2046,3.04,-16.77,0.47,5,1994,36,7520
1395.2670,2.70,-27.69,1.97,1,1966,-230,6383
1395.3376,3.75,-28.08,6.03,-1,1965,14,5982
1395.4006,7.04,-28.86,9.05,6,1963,-124,6474
1395.4710,1.02,-34.32,-0.35,-1,1949,-67,6264
1395.5337,4.96,-36.27,5.13,4,1944,-391,6249
1395.6046,1.07,-36.27,0.99,4,1944,-391,7530
1395.6670,4.97,-42.12,7.83,0,1929,114,6484
1395.7376,2.96,-46.80,1.68,3,1917,-202,6630
1395.8006,0.18,-48.75,-2.09,-1,1912,92,6321
1395.8711,6.89,-47.58,11.44,2,1915,183,6219
1395.9337,0.34,-53.82,-2.65,0,1899,125,6393
1396.0047,1.05,-54.21,5.32,0,1898,73,7229
1396.0670,3.79,-61.62,2.64,2,1879,-419,6413
1396.1376,3.79,-60.45,5.36,1,1882,-137,6151
1396.2005,1.63,-60.45,0.10,1,1882,-137,6118
1396.2711,1.23,-65.13,-0.70,1,1870,49,6552
1396.3338,2.83,-64.74,4.49,0,1871,63,6720
1396.4050,4.13,-67.86,0.66,2,1863,-6,7824
1396.4670,1.80,-68.25,1.28,1,1862,-123,6189
1396.5376,1.95,-70.20,1.69,1,1857,64,6381
1396.6005,1.85,-67.86,2.59,0,1863,275,6198
1396.6711,3.29,-68.64,4.67,2,1861,58,6174
1396.7337,-0.77,-70.59,-2.88,3,1856,-211,6281
1396.8043,-1.09,-69.42,-1.06,-2,1859,-79,7023
1396.8670,2.63,-69.81,4.09,2,1858,-59,6107
1396.9376,2.49,-69.03,5.39,0,1860,254,6212
1397.0004,2.81,-70.98,4.94,3,1855,-338,6551
1397.0711,-6.60,-70.59,-9.17,-6,1856,451,6822
1397.1337,3.04,-69.03,7.47,3,1860,91,6374
1397.2043,-1.52,-70.98,-3.83,2,1855,58,6869
1397.2670,-1.26,-67.86,-2.80,-4,1863,273,6568
1397.3376,3.82,-69.42,4.28,1,1859,-106,6797
1397.4004,-2.92,-69.03,-6.49,-1,1860,-9,7048
1397.4711,-1.24,-68.25,-1.43,-2,1862,-3,6402
