t_s,nx_px,pot_px,err_pred_px,omega_out,pot_raw,pot_vel,frame_age_us
634.6110,-20.14,-61.23,-48.80,-23,1861,945,7389
634.6734,-50.36,-35.49,-82.05,-45,1927,1617,6935
634.7440,-45.65,23.40,-43.08,-32,2078,662,6448
634.8066,-22.64,43.68,-18.62,-24,2130,1276,6204
634.8784,7.53,58.89,25.35,-1,2169,991,7068
634.9401,36.21,31.20,70.93,29,2098,-1039,6671
635.0110,47.38,-29.25,62.13,38,1943,-1875,7211
635.0733,42.32,-29.25,51.33,38,1943,-1875,6811
635.1440,10.94,-85.02,-7.53,-3,1800,-10,6362
635.2066,-11.30,-82.29,-33.74,-10,1807,376,6570
635.2781,-42.52,-48.75,-71.03,-41,1893,1442,6957
635.3400,-43.82,6.24,-58.34,-35,2034,1284,6097
635.4128,-43.36,37.05,-55.36,-34,2113,1567,10523
635.4732,16.10,67.08,46.97,12,2190,354,6771
635.5447,37.84,43.68,55.66,38,2130,-1968,6776
635.6066,37.33,-4.68,53.29,29,2006,-2399,6782
635.6773,62.93,-9.36,84.71,31,1994,-1288,6699
635.7399,11.33,-83.07,-10.51,22,1805,-1438,6772
635.8110,-1.43,-80.73,-16.79,-9,1811,491,6705
635.8732,-29.21,-68.64,-58.63,-20,1842,1025,6404
635.9449,-54.54,-68.64,-82.09,-20,1842,1025,6345
636.0066,-32.58,33.54,-32.62,-28,2104,1508,7112
636.0771,-13.04,46.41,-6.63,-5,2137,405,7060
636.1400,12.33,51.87,35.47,12,2151,-47,6744
636.2112,49.45,28.08,78.75,43,2090,-1263,6881
636.2732,40.63,-22.62,52.02,36,1960,-1774,6372
636.3450,40.09,-45.24,48.69,30,1902,-1650,6316
636.4066,5.27,-82.68,-13.74,24,1806,-1666,6842
636.4773,-27.32,-89.31,-50.84,-9,1789,384,6233
636.5399,-37.02,-46.80,-59.78,-29,1898,1313,6371
636.6109,-52.49,11.31,-73.11,-44,2047,2147,7253
636.6733,-26.06,46.80,-16.66,-21,2138,1083,7185
636.7447,4.38,57.72,22.26,10,2166,927,6484
636.8066,28.01,30.81,52.97,25,2097,-1154,6938
636.8773,51.94,13.65,78.43,35,2053,-1414,6397
636.9400,43.11,-53.43,53.14,34,1881,-1423,6326
637.0107,18.76,-66.69,8.98,30,1847,-2012,6599
637.0734,-14.83,-87.75,-38.28,-3,1793,-138,6176
637.1445,-30.87,-55.77,-52.93,-31,1875,1343,6472
637.2066,-51.81,-36.27,-73.53,-43,1925,1544,7106
637.2776,-36.74,31.98,-39.92,-28,2100,1399,6360
637.3399,-8.17,55.38,8.07,-5,2160,336,6670
637.4107,26.11,45.24,54.94,25,2134,-957,6817
637.4734,44.32,8.19,69.61,40,2039,-1675,6331
637.5448,43.00,-39.00,58.03,34,1918,-1630,6391
637.6066,27.41,-76.44,24.68,20,1822,-1269,6983
637.6781,1.91,-85.41,-13.29,-3,1799,123,6553
637.7399,-36.01,-83.46,-70.06,-20,1804,167,6357
637.8107,-53.51,-65.13,-75.49,-41,1851,1880,7101
637.8734,-33.61,16.77,-41.94,-21,2061,839,6339
637.9448,-36.39,46.41,-37.72,-28,2137,1245,6421
638.0066,19.69,63.96,55.59,7,2182,372,6966
638.0780,28.32,63.96,46.18,7,2182,372,6425
638.1399,48.28,-15.21,79.29,36,1979,-1992,7298
638.2112,46.84,-63.96,53.49,42,1854,-1938,6710
638.2735,-0.44,-86.58,-18.12,-6,1796,56,6782
638.3449,-10.18,-84.24,-24.21,-13,1802,282,7006
638.4066,-50.96,-70.59,-73.86,-6,1837,460,6934
638.4783,-87.17,-26.52,-107.55,-64,1950,2660,6654
638.5399,-24.96,43.29,0.12,-10,2129,614,7460
638.6107,-21.21,41.34,-14.00,-3,2124,-487,7550
638.6735,16.60,47.19,58.07,16,2139,-99,6555
638.7448,54.13,11.70,86.85,60,2048,-2350,7450
638.8066,20.03,-47.97,22.38,16,1895,-880,6581
638.8781,38.45,-60.06,50.74,19,1864,-906,6504
638.9399,-5.82,-93.60,-30.87,-3,1778,165,7367
639.0112,-39.03,-84.63,-61.00,-37,1801,592,6393
639.0738,-43.42,-22.62,-63.71,-33,1960,1330,7037
639.1452,-50.53,20.67,-65.41,-36,2071,1980,7774
639.2067,-15.79,54.60,5.47,-8,2158,546,7778
639.2796,11.09,43.29,33.88,18,2129,-1008,7152
639.3400,32.14,26.52,62.15,26,2086,-1362,8152
639.4113,56.69,-10.14,88.31,45,1992,-1799,6719
639.4737,30.95,-73.32,27.12,28,1830,-1916,6463
639.5450,-0.05,-86.97,-14.39,-6,1795,-67,7079
639.6067,-15.52,-73.71,-34.42,-17,1829,919,6061
639.6783,-45.79,-46.41,-76.03,-36,1899,1082,6407
639.7400,-56.15,8.97,-72.97,-48,2041,2208,7143
639.8112,-20.21,46.02,-7.50,-14,2136,884,6282
639.8736,-5.67,49.53,5.46,2,2145,-1,6281
639.9445,16.76,47.97,16.76,4,2141,-414,6951
640.0066,89.46,13.26,125.25,54,2052,-2113,6547
640.0780,95.10,13.26,114.73,54,2052,-2113,6508
640.1399,13.78,-85.02,-33.61,23,1800,-1601,7058
640.2114,-3.67,-67.47,-26.14,-26,1845,1238,7443
640.2738,-6.61,-59.28,-19.83,4,1866,305,7609
640.3448,-84.04,-28.86,-131.67,-76,1944,1652,6876
640.4066,-23.86,33.54,-4.26,-47,2104,2159,6379
640.4790,-8.43,45.63,-0.03,4,2135,-75,10950
640.5402,-7.08,45.24,4.42,-3,2134,88,11579
640.6106,73.06,13.26,120.48,67,2052,-2732,6386
640.6734,47.10,-23.79,32.83,41,1957,-2671,7163
640.7438,43.77,-65.91,46.89,25,1849,-702,6348
640.8066,5.89,-88.92,-20.52,-1,1790,-139,6910
640.8773,-32.51,-72.93,-32.51,-36,1831,2054,6786
640.9399,-51.03,-49.92,-66.56,-19,1890,786,6595
641.0105,-75.98,12.87,-90.91,-54,2051,2616,6443
641.0732,-18.65,54.21,8.79,-5,2157,642,6862
641.1438,0.06,44.07,16.56,16,2131,-681,6175
641.2065,24.86,34.32,59.33,11,2106,-818,6212
641.2772,54.03,-21.06,95.50,52,1964,-2237,6834
641.3399,27.12,-49.92,23.71,48,1890,-2063,6391
641.4105,9.37,-78.00,5.64,13,1818,-846,6261
641.4732,-11.08,-81.90,-29.60,-2,1808,59,6495
641.5440,-60.21,-72.93,-98.08,-30,1831,1182,6479
641.6065,-37.91,-35.88,-42.10,-57,1926,2296,6609
641.6772,-33.70,35.88,-38.68,-24,2110,1096,7096
641.7399,-5.67,55.77,15.95,-12,2161,1160,6535
641.8105,38.02,41.73,71.90,38,2125,-1434,6884
641.8733,40.67,16.38,55.38,43,2060,-1689,7125
641.9440,45.99,-44.85,63.74,36,1903,-1612,6237
642.0065,29.55,-44.85,25.03,36,1903,-1612,6577
642.0771,-14.48,-83.85,-50.20,-26,1803,770,7065
642.1399,-15.72,-57.72,-28.57,-14,1870,437,6146
642.2105,-56.26,-27.69,-90.82,-43,1947,1316,6723
642.2732,-51.79,15.99,-60.47,-58,2059,2671,6696
642.3439,4.36,44.46,24.47,-35,2132,1512,6263
642.4065,0.15,46.41,10.67,5,2137,-224,7282
642.4772,48.74,30.03,87.07,42,2095,-1248,6695
642.5399,55.75,-35.10,63.63,54,1928,-2627,6273
642.6105,26.35,-66.69,22.73,12,1847,-22,7163
642.6732,19.58,-84.63,9.73,13,1801,-1176,6975
642.7440,-32.25,-86.58,-71.43,5,1796,-272,6160
642.8066,-36.77,-34.32,-55.60,-38,1930,1645,6821
642.8771,-45.06,-3.12,-66.29,-31,2010,1615,6689
642.9399,-29.55,-3.12,-29.02,-31,2010,1615,6249
643.0105,8.20,56.16,28.17,11,2162,-406,7295
643.0732,39.39,36.27,69.24,35,2111,-1532,6372
643.1439,43.68,21.06,63.00,41,2072,-1481,6145
643.2065,42.55,-33.15,51.90,37,1933,-1955,7130
643.2773,18.29,-78.39,10.25,12,1817,-982,6274
643.3399,-5.71,-82.68,-26.40,-1,1806,536,6562
643.4104,-53.95,-74.49,-94.34,-34,1827,1308,6612
643.4732,-40.90,-15.60,-48.98,-48,1978,2317,6291
643.5439,-41.85,21.84,-51.67,-27,2074,1859,6148
643.6065,-11.67,56.94,5.44,-8,2164,256,7168
643.6775,26.54,53.04,53.36,22,2154,-879,6267
643.7399,35.75,17.94,58.46,28,2064,-1409,6668
643.8104,55.66,-21.84,55.66,47,1962,-1978,6574
643.8732,31.61,-57.72,18.37,29,1870,-1713,6164
643.9440,16.28,-81.51,-0.62,3,1809,-320,6229
644.0065,-25.62,-81.90,-62.12,-8,1808,-200,6486
644.0774,-42.00,-38.22,-69.26,-42,1920,1862,6460
644.1399,-35.68,19.50,-48.34,-31,2068,1295,6761
644.2105,-21.37,19.50,-21.59,-31,2068,1295,7361
644.2733,10.85,56.16,32.06,11,2162,-17,6506
644.3439,52.86,54.99,87.20,19,2159,-128,6861
644.4065,43.98,-7.41,53.76,43,1999,-1448,7145
644.4776,44.07,-47.58,55.79,27,1896,-915,6311
644.5399,19.93,-47.58,6.43,27,1896,-915,6918
644.6104,-23.96,-79.95,-51.16,-30,1813,1049,6228
644.6733,-26.10,-67.47,-33.15,-30,1845,1174,6073
644.7440,-75.97,-16.77,-107.62,-57,1975,2263,7192
644.8066,-41.83,33.54,-22.35,-54,2104,2435,6843
644.8776,0.88,51.87,20.95,17,2151,-534,6558
644.9399,7.98,39.39,28.51,8,2119,-577,7261
645.0105,55.02,8.19,97.55,48,2039,-2040,6917
645.0733,34.24,-51.09,35.61,36,1887,-1541,6261
645.1439,22.86,-71.76,28.67,10,1834,-567,6943
645.2066,3.62,-87.75,-14.14,5,1793,-447,6364
645.2778,-48.72,-76.05,-83.20,-35,1823,-653,7570
645.3399,-41.21,-31.98,-54.38,-41,1936,1573,7387
645.4108,-52.62,4.29,-72.85,-33,2029,1283,6564
645.4733,-29.13,48.36,-16.06,-39,2142,1686,6514
645.5454,25.94,58.50,56.22,24,2168,-612,7357
645.6067,18.81,20.28,36.69,30,2070,-1326,11946
645.6776,50.28,-17.94,89.49,39,1972,-1800,6290
645.7399,43.87,-55.77,52.87,49,1875,-2002,7245
645.8109,-12.45,-88.53,-35.80,16,1791,-1041,6377
645.8733,-2.47,-67.47,-2.30,-11,1845,562,6819
645.9440,-49.61,-46.80,-86.56,-40,1898,1761,6997
646.0066,-64.54,-7.80,-80.86,-65,1998,2630,6718
646.0773,-13.33,44.07,2.26,-17,2131,1105,7230
646.1399,-11.62,46.80,-5.51,-1,2138,-119,7490
646.2110,33.38,43.29,70.87,28,2129,-495,6660
646.2732,56.30,43.29,79.30,28,2129,-495,7062
646.3439,29.16,-52.26,31.60,26,1884,-814,7190
646.4065,27.26,-63.96,30.69,18,1854,-1275,6179
646.4773,-10.41,-87.75,-35.66,4,1793,-369,7015
646.5399,-56.27,-80.34,-74.86,-15,1812,646,6540
646.6107,-85.21,-51.48,-94.55,-60,1886,2336,6255
646.6733,-30.42,31.98,-6.43,-13,2100,980,7345
646.7439,-36.21,45.63,-32.92,-16,2135,1417,7196
646.8066,7.55,50.31,44.34,-12,2147,807,6774
646.8776,43.55,7.02,75.49,49,2036,-2252,6748
646.9399,31.53,7.02,48.96,49,2036,-2252,6969
647.0106,39.02,-60.06,53.41,32,1864,-1323,6203
647.0732,-3.59,-90.48,-23.61,-2,1786,-124,6744
647.1449,-33.74,-69.03,-54.84,-34,1841,1594,6691
647.2066,-36.18,-41.34,-54.81,-26,1912,1438,6297
647.2773,-58.90,8.97,-83.73,-49,2041,1978,6878
647.3399,-19.44,54.21,-3.64,-15,2157,1282,6534
647.4106,7.75,48.36,23.52,15,2142,-679,6845
647.4732,22.05,44.46,44.11,14,2132,-587,6853
647.5445,63.03,-8.97,96.36,56,1995,-2476,6874
647.6066,25.55,-57.72,18.29,38,1870,-2167,6116
647.6778,21.48,-78.78,25.48,11,1816,-144,7720
647.7400,-14.17,-85.80,-43.02,-11,1798,146,7003
647.8110,-49.38,-52.65,-80.86,-48,1883,2031,6417
647.8733,-41.40,-13.26,-55.66,-39,1984,1896,8717
647.9445,-37.22,25.74,-43.74,-28,2084,1484,6486
648.0065,-3.95,25.74,16.57,-28,2084,1484,6587
648.0773,40.24,53.82,72.28,37,2156,-1529,7617
648.1399,24.64,3.12,34.42,21,2026,-826,6374
648.2108,57.85,-12.48,85.17,28,1986,-1410,6350
648.2732,28.07,-79.95,16.56,22,1813,-1576,7227
648.3442,-0.57,-84.63,-14.79,-7,1801,183,6318
648.4066,-20.78,-70.98,-43.20,-13,1836,849,6241
648.4774,-54.92,-30.81,-86.51,-49,1939,1803,7334
648.5399,-44.69,12.87,-55.62,-40,2051,2202,6376
648.6108,-18.14,51.48,-11.34,-10,2150,965,6876
648.6732,11.55,54.60,34.56,-6,2158,561,7540
648.7446,37.59,32.76,62.28,30,2102,-1225,6521
648.8066,54.67,32.76,78.44,30,2102,-1225,6459
648.8772,35.35,-65.13,34.65,28,1851,-1197,6519
648.9399,11.34,-78.78,1.36,10,1816,179,6223
649.0107,-12.35,-78.78,-33.30,-13,1816,860,6605
649.0733,-53.29,-60.45,-88.51,-39,1863,1532,6820
649.1441,-60.79,-10.53,-79.54,-56,1991,2727,6189
649.2065,-21.66,44.07,-13.63,-9,2131,798,6577
649.2780,-16.44,47.19,-8.94,-7,2139,79,7581
649.3399,34.43,51.87,71.47,17,2151,-282,6574
649.4107,59.54,-9.36,87.62,56,1994,-3954,6961
649.4733,30.15,-50.31,31.60,22,1889,-1275,6398
649.5443,32.20,-64.35,35.81,18,1853,-869,6244
649.6065,-10.09,-86.19,-39.47,16,1797,-610,6835
649.6784,-36.92,-68.64,-59.47,-41,1842,1550,6400
649.7399,-38.27,-19.89,-60.75,-28,1967,1293,6375
